# Partition Function.
# Temperature range: 160-320 K 
#T,K     Q(T)

160      70.598176
162      71.904800
164      73.218464
166      74.541280
168      75.870960
170      77.209616
172      78.555312
174      79.908928
176      81.270640
178      82.640272
180      84.016944
182      85.401536
184      86.794224
186      88.193952
188      89.601600
190      91.016288
192      92.438896
194      93.868544
196      95.306288
198      96.750896
200      98.202544
202      99.662288
204     101.128896
206     102.602544
208     104.083232
210     105.571840
212     107.066432
214     108.569120
216     110.078672
218     111.595440
220     113.119072
222     114.649568
224     116.187280
226     117.731856
228     119.283472
230     120.842128
232     122.406768
234     123.979328
236     125.558048
238     127.143632
240     128.736256
242     130.335920
244     131.941568
246     133.555136
248     135.173808
250     136.800400
252     138.432976
254     140.072592
256     141.718192
258     143.370832
260     145.030336
262     146.696000
264     148.367648
266     150.046160
268     151.731712
270     153.423424
272     155.122000
274     156.826560
276     158.537104
278     160.254688
280     161.979312
282     163.709920
284     165.446512
286     167.189088
288     168.938704
290     170.694304
292     172.456768
294     174.225392
296     176.000000
298     177.780592
300     179.568224
302     181.361664
304     183.162320
306     184.967904
308     186.780352
310     188.598960
312     190.424608
314     192.255184
316     194.092624
318     195.936224
320     197.785808
