# Partition Function.
# Temperature range: 160-320 K 
#T,K     Q(T)

160     287.029672
162     290.764523
164     294.508604
166     298.263646
168     302.029072
170     305.805460
172     309.592808
174     313.391695
176     317.202119
178     321.024658
180     324.858736
182     328.706082
184     332.565543
186     336.437696
188     340.323694
190     344.222961
192     348.135497
194     352.062455
196     356.003259
198     359.958486
200     363.928712
202     367.913937
204     371.914738
206     375.930539
208     379.962493
210     384.010024
212     388.074284
214     392.154698
216     396.252418
218     400.366869
220     404.498627
222     408.648269
224     412.815217
226     417.000627
228     421.204497
230     425.426828
232     429.668197
234     433.928604
236     438.208625
238     442.508260
240     446.827511
242     451.167529
244     455.527163
246     459.908141
248     464.309888
250     468.732981
252     473.177418
254     477.643778
256     482.131483
258     486.642264
260     491.175544
262     495.731324
264     500.309602
266     504.912110
268     509.537695
270     514.186932
272     518.860975
274     523.558672
276     528.281176
278     533.028486
280     537.801179
282     542.598680
284     547.422141
286     552.271562
288     557.146944
290     562.048863
292     566.977320
294     571.932891
296     576.900000
298     581.925953
300     586.964020
302     592.029779
304     597.123806
306     602.246102
308     607.397242
310     612.577804
312     617.787211
314     623.026616
316     628.295444
318     633.594271
320     638.923673
