# Partition Function.
# Temperature range: 160-320 K 
#T,K     Q(T)

160     143.375897
162     145.231618
164     147.091918
166     148.957083
168     150.826828
170     152.701724
172     154.581485
174     156.466399
176     158.356750
178     160.252538
180     162.153765
182     164.060716
184     165.973676
186     167.892361
188     169.817056
190     171.748048
192     173.685335
194     175.628920
196     177.579086
198     179.536122
200     181.499740
202     183.470513
204     185.448155
206     187.432952
208     189.425191
210     191.424870
212     193.431991
214     195.446839
216     197.469414
218     199.499717
220     201.538606
222     203.585222
224     205.640138
226     207.703926
228     209.775728
230     211.856688
232     213.945948
234     216.044366
236     218.151943
238     220.268392
240     222.394572
242     224.529910
244     226.674693
246     228.829207
248     230.993451
250     233.167712
252     235.352277
254     237.546572
256     239.751457
258     241.966645
260     244.192136
262     246.428789
264     248.675746
266     250.934150
268     253.203143
270     255.483585
272     257.775188
274     260.077954
276     262.392453
278     264.718973
280     267.056941
282     269.406643
284     271.768651
286     274.142680
288     276.529302
290     278.928230
292     281.339465
294     283.763579
296     286.200000
298     288.649872
300     291.112623
302     293.588539
304     296.077621
306     298.580440
308     301.096424
310     303.626146
312     306.169891
314     308.727374
316     311.298881
318     313.884698
320     316.484539
